hold,portfolio,start,end,n_obs,TE_RMSE,TE_bp,MAE_bp,mean_active_bp,std_active_bp,FIT_TE_target,FIT_TE_target_bp,hit_rate_vs_FIT_TE,max_active_drawdown,cum_index_final,cum_tracker_final,cum_active_final,rebalance_label,no_trade,no_trade_reason,implementation_case,turnover,n_trades,n_increases,n_decreases,sum_weights,nnz,n_shorts,HHI_abs,top10_L1_share,top25_L1_share
1,Tracker-nnz150_c25,2021-12-28,2022-03-25,62,0.0017151309018025745,17.151309018025746,13.684568505116996,6.153491305943975,16.140124442573846,0.0010278484525229428,10.278484525229429,0.45161290322580644,-0.003641367655372846,0.9482112197915362,0.9854925254851858,0.03815164609685263,local-window starting portfolio,,,local-window starting portfolio,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
2,Tracker-nnz150_c25,2022-03-28,2022-06-27,63,0.0015362730004041688,15.362730004041687,12.227221768328896,0.2563994371682325,15.48397045639471,0.0011819769419514157,11.819769419514158,0.5714285714285714,-0.014530065307277202,0.8584764579645722,0.8600437034663416,0.001615316454159861,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
3,Tracker-nnz150_c25,2022-06-28,2022-09-27,64,0.0012217792428118564,12.217792428118564,9.416074515137481,0.8294977589646366,12.285963508679256,0.0012203685470310302,12.203685470310301,0.734375,-0.006903867819036704,0.935176171596218,0.9398266763731817,0.005308785657373673,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
4,Tracker-nnz150_c25,2022-09-28,2022-12-27,63,0.0019063956454756967,19.063956454756966,15.31332764328695,2.1364943201640028,19.096021856833435,0.0012369081019162266,12.369081019162266,0.49206349206349204,-0.013618216069403413,1.0498890844952593,1.0634819188260534,0.013459914217033218,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
5,Tracker-nnz150_c25,2022-12-28,2023-03-27,61,0.0014598810967165188,14.598810967165187,11.41912205810771,1.5546590575521775,14.636260524838878,0.0013665237157194578,13.665237157194579,0.7049180327868853,-0.011371143905687248,1.0387229951810089,1.0482745135630138,0.009483420251068284,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
6,Tracker-nnz150_c25,2023-03-28,2023-06-27,63,0.001311937284812104,13.11937284812104,10.695215322088874,1.2403911391191922,13.165510015634963,0.0014071400621111126,14.071400621111126,0.6666666666666666,-0.006551184992060444,1.1007861974643578,1.1093872599709742,0.007814464176450904,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
7,Tracker-nnz150_c25,2023-06-28,2023-09-27,64,0.0014754901649666927,14.754901649666927,11.054413093850489,3.4747439334836416,14.453279820251048,0.0014479228237159645,14.479228237159646,0.734375,-0.005373803480182571,0.9762698361009694,0.9983062394401063,0.02223836117429532,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
8,Tracker-nnz150_c25,2023-09-28,2023-12-27,63,0.00147759406423728,14.7759406423728,11.613310446297351,0.8796530788210212,14.868206953447755,0.001506468120199131,15.06468120199131,0.7301587301587301,-0.006652265268471699,1.118626542060516,1.1247265369208057,0.005541814396572433,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
9,Tracker-nnz150_c25,2023-12-28,2024-03-27,62,0.0020460336867740058,20.460336867740057,16.397057932974874,-2.390442913308971,20.48609779706919,0.0015299802381686638,15.299802381686638,0.5,-0.027402865885840337,1.097647670565228,1.081791571743252,-0.014820746062515613,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
10,Tracker-nnz150_c25,2024-03-28,2024-06-27,63,0.002688690128453538,26.886901284535377,20.644199112018082,-1.192255068030964,27.076204074092374,0.001568233899262929,15.682338992629289,0.4126984126984127,-0.023933532592559387,1.0446566293059723,1.037040481441551,-0.007511206928595069,no rebalance,True,approved moves are sells only; no posterior-approved destination for freed budget,sell_only_no_destination,0.0,0,0,0,0.9999999999999999,53,0,0.030293362226456382,0.44754531689823335,0.7057766542546414
11,Tracker-nnz150_c25,2024-06-28,2024-09-27,64,0.002763431466850384,27.63431466850384,20.20912379601912,3.147703967196086,27.67149345264856,0.0016957315602798007,16.957315602798005,0.59375,-0.01633210465208522,1.046563168419255,1.0688826388807,0.020145305390054952,rebalance,False,,buy_dominant_with_funding_topup,0.01,7,2,5,0.9999999999999998,52,0,0.03056552215694068,0.4505464426807757,0.7140933947741642
12,Tracker-nnz150_c25,2024-09-30,2024-12-27,63,0.001975396558114492,19.75396558114492,16.264833099857213,-2.587951916281213,19.741010468134075,0.001909783134409467,19.09783134409467,0.6031746031746031,-0.02088086142357796,1.0405477573935247,1.0240459544669165,-0.016304097072571633,no rebalance,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.9999999999999998,52,0,0.03056552215694068,0.4505464426807757,0.7140933947741642
13,Tracker-nnz150_c25,2024-12-30,2025-03-28,61,0.0036073982474152653,36.07398247415265,27.70679805010722,4.155991063102353,36.131163128146056,0.0017965480497927247,17.965480497927246,0.3770491803278688,-0.013495386703858622,0.9346993199370657,0.9597234508319235,0.025351545484924343,rebalance,False,,buy_dominant_with_funding_topup,0.010000000000000002,12,6,6,0.9999999999999998,52,0,0.03076490539858403,0.4521480357793688,0.7187542543780248
14,Tracker-nnz150_c25,2025-03-31,2025-06-27,62,0.0023183213564669128,23.183213564669128,17.506583724164205,-4.87280146654886,22.8503564621422,0.0020106829008185224,20.106829008185223,0.6451612903225806,-0.034556480213047754,1.1060985943280561,1.0746103951581918,-0.03021136909260294,rebalance,False,,buy_dominant_with_funding_topup,0.01,12,9,3,1.0,55,0,0.030895286870482246,0.4533215830095627,0.7220573634051234
15,Tracker-nnz150_c25,2025-06-30,2025-09-29,64,0.00242736497788781,24.2736497788781,19.082707196241053,-0.48134568893443364,24.46072858867113,0.00203469536584341,20.3469536584341,0.625,-0.017809169063814263,1.0790757517116756,1.0758891310808174,-0.0030806124091803783,rebalance,False,,buy_dominant_with_funding_topup,0.010000000000000002,12,10,2,1.0,55,0,0.03102835026685742,0.45528524053338126,0.7254874243294716
16,Tracker-nnz150_c25,2025-09-30,2025-12-31,65,0.002958233596657036,29.582335966570362,23.643447373812844,3.2768479891379707,29.629086335311808,0.0020630867841286986,20.630867841286985,0.49230769230769234,-0.015182787291408319,1.0276661507658846,1.0503974852889781,0.021299511929396806,rebalance,False,,buy_dominant_with_funding_topup,0.009999999999999998,13,10,3,1.0,55,0,0.031151986095339305,0.458059220656995,0.7282614044530853
